City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Mezhdurechensk,RU,53.6942,88.0603,63.45,66,47,6.46,scattered clouds
161,Castro,BR,-24.7911,-50.0119,42.08,85,8,2.75,clear sky
162,Lavrentiya,RU,65.5833,-171.0,33.84,99,91,4.88,overcast clouds
163,Baruun-Urt,MN,46.6806,113.2792,75.31,17,33,14.12,scattered clouds
164,Caravelas,BR,-17.7125,-39.2481,66.99,52,79,5.46,broken clouds
165,Lata,PT,40.1629,-8.3327,58.91,71,100,2.8,overcast clouds
166,Marienburg,PL,54.0359,19.0266,67.12,69,100,8.1,overcast clouds
167,Ransang,PH,8.9603,117.5828,87.22,66,94,2.15,overcast clouds
168,Chapais,CA,49.7834,-74.8492,44.76,94,100,5.3,overcast clouds
169,Smithers,CA,54.7804,-127.1743,49.19,77,81,4.76,light rain
170,Buala,SB,-8.145,159.5921,85.71,65,40,1.97,scattered clouds
171,Guiratinga,BR,-16.3494,-53.7583,50.88,58,100,2.95,overcast clouds
172,Chapala,MX,20.3,-103.2,81.84,32,9,12.01,clear sky
173,Independence,US,39.0911,-94.4155,75.94,77,0,9.22,clear sky
174,Meiganga,CM,6.5167,14.3,66.65,97,100,3.09,overcast clouds
175,Hermanus,ZA,-34.4187,19.2345,55.69,59,22,1.39,few clouds
176,Yenagoa,NG,4.9247,6.2642,74.79,95,100,2.48,overcast clouds
177,Kaseda,JP,31.4167,130.3167,69.58,65,100,9.64,light rain
178,Iqaluit,CA,63.7506,-68.5145,28.13,100,100,3.44,light snow
179,Itapirapua,BR,-15.8233,-50.6133,51.66,65,100,5.17,overcast clouds
180,Buncrana,IE,55.1333,-7.45,50.36,82,100,12.26,overcast clouds
181,Monte Santo,BR,-10.4378,-39.3328,68.61,96,100,2.44,overcast clouds
182,Isangel,VU,-19.55,169.2667,78.76,83,100,15.93,heavy intensity rain
183,Werota,ET,11.9167,37.7,70.23,28,10,4.07,clear sky
184,Cochrane,CA,51.1834,-114.4687,38.89,96,100,10.36,light rain
185,Pangkalanbuun,ID,-2.6833,111.6167,86.65,67,60,1.25,broken clouds
186,Kichera,RU,55.9375,110.0997,60.53,42,76,3.71,broken clouds
187,Vardo,NO,70.3705,31.1107,33.78,69,100,4.61,overcast clouds
188,Hay River,CA,60.8156,-115.7999,37.58,50,100,4.88,overcast clouds
189,Bilibino,RU,68.0546,166.4372,39.31,97,98,3.06,overcast clouds
190,Norman Wells,CA,65.282,-126.8329,52.43,51,90,7.9,overcast clouds
191,Port Lincoln,AU,-34.7333,135.8667,59.29,54,66,17.13,broken clouds
192,Laguna,US,38.421,-121.4238,88.05,13,0,13.8,clear sky
193,Yerbogachen,RU,61.2767,108.0108,50.58,54,16,8.68,few clouds
194,Barra Patuca,HN,15.8,-84.2833,79.7,87,98,9.48,overcast clouds
195,Waipawa,NZ,-41.4122,175.5153,49.89,85,21,20.24,few clouds
196,Yumen,CN,40.2833,97.2,72.41,21,1,6.35,clear sky
197,Chuy,UY,-33.6971,-53.4616,48.67,83,2,4.7,clear sky
198,Kodiak,US,57.79,-152.4072,56.71,51,0,12.66,clear sky
199,Nuevo Progreso,MX,23.1667,-97.95,81.54,68,34,4.65,scattered clouds
200,Changji,CN,44.0167,87.3167,68.79,56,0,6.71,clear sky
201,Abu Dhabi,AE,24.4667,54.3667,84.96,67,0,5.75,clear sky
202,Nishihara,JP,26.1842,127.7558,76.28,94,75,16.11,moderate rain
203,Barstow,US,34.8986,-117.0228,90.59,16,0,33.58,clear sky
204,Arraial Do Cabo,BR,-22.9661,-42.0278,68.81,71,97,30.04,overcast clouds
205,Buluang,PH,13.3068,123.3425,89.78,57,41,4.07,scattered clouds
206,Esperance,AU,-33.8667,121.9,66.22,60,76,6.73,broken clouds
207,Stuttgart,DE,48.7823,9.177,63.01,70,100,4.59,overcast clouds
208,Yaan,NG,7.3833,8.5667,74.89,86,100,4.16,overcast clouds
209,Filingue,NE,14.3521,3.3168,87.42,26,0,8.3,clear sky
210,Hami,CN,42.8,93.45,84.83,11,0,9.98,clear sky
211,Kondoa,TZ,-4.9,35.7833,54.63,97,77,4.18,broken clouds
212,Dingle,PH,10.9995,122.6711,87.35,65,25,5.57,scattered clouds
213,Port Hardy,CA,50.6996,-127.4199,48.52,74,13,14.5,few clouds
214,Macomer,IT,40.262,8.7699,53.96,81,9,4.21,clear sky
215,Yima,CN,34.7381,111.8839,75.34,42,0,2.95,clear sky
216,Turukhansk,RU,65.8167,87.9833,55.85,47,92,19.51,overcast clouds
217,Kargil,IN,34.5667,76.1,46.38,48,95,2.48,overcast clouds
218,Cabo San Lucas,MX,22.8909,-109.9124,87.1,74,0,13.8,clear sky
219,Dudinka,RU,69.4058,86.1778,38.62,77,100,10.36,overcast clouds
220,La Plata,AR,-34.9215,-57.9545,51.03,76,86,8.14,overcast clouds
221,Ribeira Grande,PT,38.5167,-28.7,60.19,77,61,4.7,broken clouds
222,Tarko-Sale,RU,64.9225,77.785,51.71,88,100,9.86,light rain
223,Farmington,US,36.7281,-108.2187,81.7,12,0,12.66,clear sky
224,Ponta Do Sol,PT,32.6667,-17.1,67.01,81,39,2.42,scattered clouds
225,Upernavik,GL,72.7868,-56.1549,19.74,97,12,7.38,few clouds
226,Shetpe,KZ,44.1667,52.1167,65.46,44,43,9.66,scattered clouds
227,Pemba,MZ,-12.974,40.5178,75.47,82,100,7.45,overcast clouds
228,Port Elizabeth,ZA,-33.918,25.5701,54.32,98,100,5.01,overcast clouds
